county_name,County Name Cleaned,state_ID,countyFIPS,State,county_correct_spelling
Lawrence County,Lawrence,LawrenceTN,47099,TN,
Lewis County,Lewis,LewisTN,47101,TN,
Lincoln County,Lincoln,LincolnTN,47103,TN,
Loudon County,Loudon,LoudonTN,47105,TN,
McMinn County,McMinn,McMinnTN,47107,TN,
McNairy County,McNairy,McNairyTN,47109,TN,
Macon County,Macon,MaconTN,47111,TN,
Madison County,Madison,MadisonTN,47113,TN,
Marion County,Marion,MarionTN,47115,TN,
Marshall County,Marshall,MarshallTN,47117,TN,
Maury County,Maury,MauryTN,47119,TN,
Meigs County,Meigs,MeigsTN,47121,TN,
Monroe County,Monroe,MonroeTN,47123,TN,
Montgomery County,Montgomery,MontgomeryTN,47125,TN,
Moore County,Moore,MooreTN,47127,TN,
Morgan County,Morgan,MorganTN,47129,TN,
Obion County,Obion,ObionTN,47131,TN,
Overton County,Overton,OvertonTN,47133,TN,
Perry County,Perry,PerryTN,47135,TN,
Pickett County,Pickett,PickettTN,47137,TN,
Polk County,Polk,PolkTN,47139,TN,
Putnam County,Putnam,PutnamTN,47141,TN,
Rhea County,Rhea,RheaTN,47143,TN,
Roane County,Roane,RoaneTN,47145,TN,
Robertson County,Robertson,RobertsonTN,47147,TN,
Rutherford County,Rutherford,RutherfordTN,47149,TN,
Scott County,Scott,ScottTN,47151,TN,
Sequatchie County,Sequatchie,SequatchieTN,47153,TN,
Sevier County,Sevier,SevierTN,47155,TN,
Shelby County,Shelby,ShelbyTN,47157,TN,
Smith County,Smith,SmithTN,47159,TN,
Stewart County,Stewart,StewartTN,47161,TN,
Sullivan County,Sullivan,SullivanTN,47163,TN,
Sumner County,Sumner,SumnerTN,47165,TN,
Tipton County,Tipton,TiptonTN,47167,TN,
Trousdale County,Trousdale,TrousdaleTN,47169,TN,
Unicoi County,Unicoi,UnicoiTN,47171,TN,
Union County,Union,UnionTN,47173,TN,
Van Buren County,Van Buren,Van BurenTN,47175,TN,
Warren County,Warren,WarrenTN,47177,TN,
Washington County,Washington,WashingtonTN,47179,TN,
Wayne County,Wayne,WayneTN,47181,TN,
Weakley County,Weakley,WeakleyTN,47183,TN,
White County,White,WhiteTN,47185,TN,
Williamson County,Williamson,WilliamsonTN,47187,TN,
Wilson County,Wilson,WilsonTN,47189,TN,
Statewide Unallocated,Statewide Unallocated,Statewide UnallocatedTX,0,TX,
Anderson County,Anderson,AndersonTX,48001,TX,
Andrews County,Andrews,AndrewsTX,48003,TX,
Angelina County,Angelina,AngelinaTX,48005,TX,
Aransas County,Aransas,AransasTX,48007,TX,
Archer County,Archer,ArcherTX,48009,TX,
Armstrong County,Armstrong,ArmstrongTX,48011,TX,
Atascosa County,Atascosa,AtascosaTX,48013,TX,
Austin County,Austin,AustinTX,48015,TX,
Bailey County,Bailey,BaileyTX,48017,TX,
Bandera County,Bandera,BanderaTX,48019,TX,
Bastrop County,Bastrop,BastropTX,48021,TX,
Baylor County,Baylor,BaylorTX,48023,TX,
Bee County,Bee,BeeTX,48025,TX,
Bell County,Bell,BellTX,48027,TX,
Bexar County,Bexar,BexarTX,48029,TX,
Blanco County,Blanco,BlancoTX,48031,TX,
Borden County,Borden,BordenTX,48033,TX,
Bosque County,Bosque,BosqueTX,48035,TX,
Bowie County,Bowie,BowieTX,48037,TX,
Brazoria County,Brazoria,BrazoriaTX,48039,TX,
Brazos County,Brazos,BrazosTX,48041,TX,
Brewster County,Brewster,BrewsterTX,48043,TX,
Briscoe County,Briscoe,BriscoeTX,48045,TX,
Brooks County,Brooks,BrooksTX,48047,TX,
Brown County,Brown,BrownTX,48049,TX,
Burleson County,Burleson,BurlesonTX,48051,TX,
Burnet County,Burnet,BurnetTX,48053,TX,
Caldwell County,Caldwell,CaldwellTX,48055,TX,
Calhoun County,Calhoun,CalhounTX,48057,TX,
Callahan County,Callahan,CallahanTX,48059,TX,
Cameron County,Cameron,CameronTX,48061,TX,
Camp County,Camp,CampTX,48063,TX,
Carson County,Carson,CarsonTX,48065,TX,
Cass County,Cass,CassTX,48067,TX,
Castro County,Castro,CastroTX,48069,TX,
Chambers County,Chambers,ChambersTX,48071,TX,
Cherokee County,Cherokee,CherokeeTX,48073,TX,
Childress County,Childress,ChildressTX,48075,TX,
Clay County,Clay,ClayTX,48077,TX,
Cochran County,Cochran,CochranTX,48079,TX,
Coke County,Coke,CokeTX,48081,TX,
Coleman County,Coleman,ColemanTX,48083,TX,
Collin County,Collin,CollinTX,48085,TX,
Collingsworth County,Collingsworth,CollingsworthTX,48087,TX,
Colorado County,Colorado,ColoradoTX,48089,TX,
Comal County,Comal,ComalTX,48091,TX,
Comanche County,Comanche,ComancheTX,48093,TX,
Concho County,Concho,ConchoTX,48095,TX,
Cooke County,Cooke,CookeTX,48097,TX,
Coryell County,Coryell,CoryellTX,48099,TX,
Cottle County,Cottle,CottleTX,48101,TX,
Crane County,Crane,CraneTX,48103,TX,
Crockett County,Crockett,CrockettTX,48105,TX,
Crosby County,Crosby,CrosbyTX,48107,TX,
Culberson County,Culberson,CulbersonTX,48109,TX,
Dallam County,Dallam,DallamTX,48111,TX,
Dallas County,Dallas,DallasTX,48113,TX,
Dawson County,Dawson,DawsonTX,48115,TX,
Deaf Smith County,Deaf Smith,Deaf SmithTX,48117,TX,
Delta County,Delta,DeltaTX,48119,TX,
Denton County,Denton,DentonTX,48121,TX,
